Initial_position,Initial_velocity,Mass,Time,Position
84,43,92,29,5451.900000000001
720,47,60,94,48434.4
721,28,7,26,4761.4
672,35,76,19,3105.9
314,68,97,56,19488.4
59,98,26,55,20271.5
782,74,85,22,4781.6
34,34,79,60,19714.0
810,29,63,49,13995.900000000001
904,6,83,37,7834.1
299,69,59,52,17136.6
919,49,28,16,2957.4
478,83,55,8,1455.6
46,22,33,23,3144.1000000000004
479,77,57,85,42426.5
308,23,96,18,2309.6000000000004
50,52,51,80,35570.0
574,77,84,86,43436.4
546,48,68,30,6396.0
512,55,52,43,11937.1
297,26,84,14,1621.4
435,94,18,29,7281.900000000001
138,26,73,34,6686.400000000001
538,19,7,11,1339.9
318,52,46,31,6638.900000000001
513,48,24,4,783.4
114,33,56,40,9274.0
559,78,84,97,54229.100000000006
748,55,76,94,49214.4
579,53,58,12,1920.6
482,25,29,85,38009.5
715,25,83,94,46361.4
345,76,85,8,1266.6
491,3,29,73,26822.100000000002
189,17,3,34,6431.400000000001
992,53,95,38,10081.6
540,24,39,71,26944.9
226,93,88,16,2968.4
442,6,85,72,26275.600000000002
939,66,42,67,27357.100000000002
784,9,41,5,951.5
451,26,45,63,21537.100000000002
672,31,78,83,37001.100000000006
715,50,82,35,8467.5
48,27,40,77,31179.100000000002
465,29,90,55,16882.5
375,89,17,15,2812.5
959,48,67,36,9037.400000000001
650,63,18,68,27591.600000000002
334,54,53,55,18126.5
679,26,68,70,26509.0
139,50,4,4,417.4
730,18,8,52,14915.6
650,38,97,52,15875.6
348,57,55,56,18906.4
285,54,14,31,6667.900000000001
473,25,77,51,14492.900000000001
373,28,24,96,48219.4
446,78,64,63,24808.100000000002
288,99,52,20,4228.0
292,27,34,78,32209.600000000002
484,20,70,43,10404.1
943,60,41,56,19669.4
364,14,91,44,10466.400000000001
302,78,39,81,38768.9
724,1,2,56,16146.400000000001
238,5,51,60,18178.0
505,67,19,49,15552.900000000001
473,69,52,73,31622.100000000002
822,72,67,81,38802.9
933,40,46,22,4184.6
240,37,76,94,47014.4
159,5,16,8,512.6
984,23,70,69,25899.9
810,11,66,49,13113.900000000001
605,16,50,35,7167.5
564,77,58,66,26990.4
613,87,15,85,43410.5
135,99,75,28,6748.6
382,64,69,27,5682.1
93,6,57,11,751.9000000000001
172,50,77,26,4784.4
853,90,28,89,47675.9
707,50,11,53,17121.1
707,18,77,24,3961.4
532,28,87,72,27949.600000000002
183,57,48,18,2796.6000000000004
848,97,24,28,7405.6
546,65,63,85,41473.5
849,1,89,50,13149.0
401,61,74,84,40099.4
54,58,91,77,33572.100000000006
430,98,18,76,36180.4
924,51,86,84,39782.4
158,55,32,26,4900.4
184,72,61,52,17177.6
651,94,45,16,3409.4
50,57,58,99,53717.9
639,55,30,15,2566.5
754,76,79,95,52196.5
311,71,6,47,14472.1
916,71,1,98,54933.600000000006
540,25,21,69,25593.9
956,30,69,68,25653.600000000002
233,23,9,49,13124.900000000001
572,59,61,62,23065.600000000002
908,81,36,7,1715.1
93,54,94,88,42790.600000000006
993,7,85,81,33708.9
20,54,93,26,4736.4
488,82,38,89,46598.9
685,94,34,5,1277.5
182,80,6,80,37942.0
577,61,88,86,42063.4
164,27,19,91,43197.9
888,93,80,3,1211.1
653,5,57,9,1094.9
595,2,22,67,22725.100000000002
852,21,84,94,46122.4
740,50,81,53,17154.1
141,83,17,72,31518.600000000002
120,64,11,29,6096.900000000001
23,29,47,88,40520.600000000006
273,2,77,78,30240.600000000002
815,64,7,25,5477.5
750,57,55,1,811.9
963,68,97,11,2303.9
731,42,3,61,21525.9
